YYYYMMDD,hhmmss,unixtimestamp,gride_energy_import,grid_energy_export,grid_power,ev_energy_consumption_,ev_power_consumption,pv_energy_production,pv_power_production,hp_energy_consumption,hp_power_consumption
20150708,001615,1436307375000,2782.680,8614.410,0.149,693.280,0.016,10250.66,0.000,1887.918,0.038
20150708,001620,1436307380000,2782.680,8614.410,0.147,693.280,0.017,10250.66,0.000,1887.918,0.038
20150708,001625,1436307385000,2782.680,8614.410,0.148,693.280,0.016,10250.66,0.000,1887.918,0.038
20150708,001630,1436307390000,2782.680,8614.410,0.148,693.280,0.016,10250.66,0.000,1887.918,0.038
20150708,001635,1436307395000,2782.680,8614.410,0.148,693.280,0.016,10250.66,0.000,1887.918,0.038
20150708,001640,1436307400000,2782.680,8614.410,0.149,693.280,0.017,10250.66,0.000,1887.918,0.038
20150708,001645,1436307405000,2782.680,8614.410,0.148,693.280,0.017,10250.66,0.000,1887.918,0.038
20150708,001650,1436307410000,2782.680,8614.410,0.147,693.280,0.017,10250.66,0.000,1887.918,0.038
20150708,001655,1436307415000,2782.680,8614.410,0.148,693.280,0.016,10250.66,0.000,1887.918,0.038
20150708,001700,1436307420000,2782.680,8614.410,0.148,693.280,0.016,10250.66,0.000,1887.918,0.038
20150708,001705,1436307425000,2782.680,8614.410,0.148,693.280,0.016,10250.66,0.000,1887.918,0.038
20150708,001710,1436307430000,2782.680,8614.410,0.148,693.280,0.017,10250.66,0.000,1887.918,0.038
20150708,001715,1436307435000,2782.680,8614.410,0.147,693.280,0.017,10250.66,0.000,1887.918,0.039
20150708,001720,1436307440000,2782.680,8614.410,0.148,693.280,0.016,10250.66,0.000,1887.918,0.038
20150708,001725,1436307445000,2782.680,8614.410,0.148,693.280,0.017,10250.66,0.000,1887.918,0.038
20150708,001730,1436307450000,2782.680,8614.410,0.147,693.280,0.017,10250.66,0.000,1887.919,0.038
20150708,001735,1436307455000,2782.680,8614.410,0.148,693.280,0.016,10250.66,0.000,1887.919,0.038
20150708,001740,1436307460000,2782.680,8614.410,0.147,693.280,0.017,10250.66,0.000,1887.919,0.038
20150708,001745,1436307465000,2782.680,8614.410,0.146,693.280,0.017,10250.66,0.000,1887.919,0.038
20150708,001750,1436307470000,2782.680,8614.410,0.147,693.280,0.016,10250.66,0.000,1887.919,0.038
20150708,001755,1436307475000,2782.680,8614.410,0.148,693.280,0.017,10250.66,0.000,1887.919,0.038
20150708,001800,1436307480000,2782.680,8614.410,0.147,693.280,0.016,10250.66,0.000,1887.919,0.038
20150708,001805,1436307485000,2782.680,8614.410,0.147,693.280,0.016,10250.66,0.000,1887.919,0.038
20150708,001810,1436307490000,2782.680,8614.410,0.147,693.280,0.017,10250.66,0.000,1887.919,0.038
20150708,001815,1436307495000,2782.680,8614.410,0.147,693.280,0.017,10250.66,0.000,1887.919,0.038
20150708,001820,1436307500000,2782.680,8614.410,0.146,693.280,0.017,10250.66,0.000,1887.919,0.038
20150708,001825,1436307505000,2782.680,8614.410,0.147,693.280,0.016,10250.66,0.000,1887.919,0.038
20150708,001830,1436307510000,2782.680,8614.410,0.147,693.280,0.016,10250.66,0.000,1887.919,0.038
20150708,001835,1436307515000,2782.680,8614.410,0.146,693.280,0.017,10250.66,0.000,1887.919,0.038
20150708,001840,1436307520000,2782.680,8614.410,0.147,693.280,0.017,10250.66,0.000,1887.919,0.038
20150708,001845,1436307525000,2782.680,8614.410,0.146,693.280,0.016,10250.66,0.000,1887.919,0.038
20150708,001850,1436307530000,2782.680,8614.410,0.146,693.280,0.017,10250.66,0.000,1887.919,0.038
20150708,001855,1436307535000,2782.680,8614.410,0.147,693.280,0.016,10250.66,0.000,1887.919,0.038
20150708,001900,1436307540000,2782.680,8614.410,0.146,693.280,0.017,10250.66,0.000,1887.919,0.038
20150708,001905,1436307545000,2782.680,8614.410,0.147,693.280,0.016,10250.66,0.000,1887.920,0.038
20150708,001910,1436307550000,2782.680,8614.410,0.147,693.280,0.017,10250.66,0.000,1887.920,0.038
20150708,001915,1436307555000,2782.680,8614.410,0.147,693.280,0.016,10250.66,0.000,1887.920,0.038
20150708,001920,1436307560000,2782.680,8614.410,0.147,693.280,0.016,10250.66,0.000,1887.920,0.038
20150708,001925,1436307565000,2782.680,8614.410,0.147,693.280,0.017,10250.66,0.000,1887.920,0.039
20150708,001930,1436307570000,2782.680,8614.410,0.147,693.280,0.017,10250.66,0.000,1887.920,0.038
20150708,001935,1436307575000,2782.680,8614.410,0.146,693.280,0.017,10250.66,0.000,1887.920,0.038
20150708,001940,1436307580000,2782.680,8614.410,0.147,693.280,0.018,10250.66,0.000,1887.920,0.038
20150708,001945,1436307585000,2782.680,8614.410,0.146,693.280,0.016,10250.66,0.000,1887.920,0.038
20150708,001950,1436307590000,2782.690,8614.410,0.146,693.280,0.016,10250.66,0.000,1887.920,0.038
20150708,001955,1436307595000,2782.690,8614.410,0.146,693.280,0.016,10250.66,0.000,1887.920,0.038
20150708,002000,1436307600000,2782.690,8614.410,0.146,693.280,0.016,10250.66,0.000,1887.920,0.038
20150708,002005,1436307605000,2782.690,8614.410,0.146,693.280,0.016,10250.66,0.000,1887.920,0.038
20150708,002010,1436307610000,2782.690,8614.410,0.146,693.280,0.017,10250.66,0.000,1887.920,0.038
20150708,002015,1436307615000,2782.690,8614.410,0.146,693.280,0.016,10250.66,0.000,1887.920,0.039
20150708,002020,1436307620000,2782.690,8614.410,0.146,693.280,0.017,10250.66,0.000,1887.920,0.038
20150708,002025,1436307625000,2782.690,8614.410,0.146,693.280,0.016,10250.66,0.000,1887.920,0.037
20150708,002030,1436307630000,2782.690,8614.410,0.147,693.280,0.016,10250.66,0.000,1887.920,0.038
20150708,002035,1436307635000,2782.690,8614.410,0.147,693.280,0.017,10250.66,0.000,1887.921,0.038
20150708,002040,1436307640000,2782.690,8614.410,0.146,693.280,0.017,10250.66,0.000,1887.921,0.038
20150708,002045,1436307645000,2782.690,8614.410,0.146,693.280,0.017,10250.66,0.000,1887.921,0.038
20150708,002050,1436307650000,2782.690,8614.410,0.146,693.280,0.016,10250.66,0.000,1887.921,0.038
20150708,002055,1436307655000,2782.690,8614.410,0.144,693.280,0.017,10250.66,0.000,1887.921,0.038
20150708,002100,1436307660000,2782.690,8614.410,0.144,693.280,0.016,10250.66,0.000,1887.921,0.038
20150708,002105,1436307665000,2782.690,8614.410,0.145,693.280,0.017,10250.66,0.000,1887.921,0.038
